epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.69,1.12509,2.30627,1.1272,0.45345,0.5607,0.49117,0.35741,0.99545,1.93018,1.13462,0.00332805,0.00332805,0.00332805
2,249.706,1.0652,1.67615,1.07309,0.49857,0.62032,0.5571,0.39829,1.00816,1.44187,1.12304,0.0066394,0.0066394,0.0066394
3,366.217,1.08417,1.50595,1.06362,0.49955,0.59272,0.55026,0.39237,1.02773,1.41159,1.11362,0.00992875,0.00992875,0.00992875
4,482.095,1.07962,1.43236,1.04954,0.49807,0.63208,0.58928,0.42671,1.00897,1.39326,1.09697,0.009901,0.009901,0.009901
5,597.721,1.06373,1.32845,1.04466,0.5629,0.70742,0.66585,0.48692,1.00673,1.3302,1.10629,0.009868,0.009868,0.009868
6,713.92,1.04902,1.27836,1.03758,0.54226,0.64105,0.61478,0.43016,1.04972,1.24582,1.10098,0.009835,0.009835,0.009835
7,830.413,1.03101,1.24384,1.02432,0.588,0.70364,0.68955,0.51459,0.97685,1.06165,1.06359,0.009802,0.009802,0.009802
8,947.496,1.02287,1.22221,1.02405,0.57687,0.65793,0.6521,0.48095,0.97133,1.12741,1.07101,0.009769,0.009769,0.009769
9,1062.57,1.01612,1.20628,1.01856,0.52111,0.5968,0.58367,0.42366,0.97673,1.26015,1.07206,0.009736,0.009736,0.009736
10,1177.68,1.00816,1.17328,1.02393,0.53961,0.66492,0.63866,0.46789,0.97721,1.13813,1.077,0.009703,0.009703,0.009703
11,1294.79,1.00238,1.15236,1.01775,0.59494,0.73071,0.70194,0.52418,0.94845,1.05254,1.06266,0.00967,0.00967,0.00967
12,1412.05,0.99225,1.15483,1.01637,0.58042,0.70509,0.68073,0.51158,0.93208,1.06914,1.05681,0.009637,0.009637,0.009637
13,1529.47,0.9988,1.15314,1.01716,0.59787,0.71761,0.70002,0.52427,0.94371,0.99647,1.05928,0.009604,0.009604,0.009604
14,1647.12,0.98638,1.12222,1.0064,0.58731,0.71963,0.70631,0.5333,0.92625,1.00068,1.04292,0.009571,0.009571,0.009571
