epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.334,2.19237,5.89953,2.07152,0.38731,0.53368,0.41364,0.30414,1.98385,4.02289,2.04463,0.00332805,0.00332805,0.00332805
2,282.436,2.18934,3.58331,2.0454,0.45961,0.53275,0.4796,0.32997,2.13891,4.48493,2.15851,0.0066394,0.0066394,0.0066394
3,421.516,2.26547,3.057,2.12448,0.52864,0.5495,0.55677,0.39393,2.14263,2.8858,2.22026,0.00992875,0.00992875,0.00992875
4,553.597,2.26982,2.8662,2.14587,0.50923,0.6132,0.55793,0.38954,2.20214,3.23834,2.32063,0.009901,0.009901,0.009901
5,686.037,2.22849,2.62928,2.14981,0.53362,0.62999,0.59212,0.42705,2.08411,2.71789,2.26852,0.009868,0.009868,0.009868
6,818.038,2.18331,2.52586,2.13403,0.56885,0.68035,0.65857,0.47922,2.03363,2.11755,2.19941,0.009835,0.009835,0.009835
7,949.96,2.14499,2.45893,2.10812,0.59102,0.65473,0.65726,0.4885,1.98229,2.17423,2.19651,0.009802,0.009802,0.009802
8,1083.47,2.1278,2.41707,2.11006,0.56491,0.69811,0.66505,0.4917,1.96065,2.06425,2.177,0.009769,0.009769,0.009769
9,1217.38,2.09352,2.3737,2.08584,0.51384,0.65328,0.6005,0.42985,2.00583,2.35044,2.20502,0.009736,0.009736,0.009736
10,1351.75,2.0896,2.31856,2.09657,0.57031,0.68501,0.66674,0.49564,1.95952,2.04403,2.18726,0.009703,0.009703,0.009703
11,1485.52,2.07117,2.27236,2.08712,0.60846,0.70539,0.6959,0.52017,1.92555,1.8642,2.16787,0.00967,0.00967,0.00967
12,1621.99,2.04624,2.26443,2.07868,0.57014,0.68792,0.655,0.48745,1.92347,2.07087,2.16945,0.009637,0.009637,0.009637
13,1770.02,2.0674,2.26517,2.08311,0.58321,0.69083,0.67342,0.50254,1.91199,2.01488,2.1599,0.009604,0.009604,0.009604
14,1903.56,2.02878,2.2023,2.06398,0.60445,0.72518,0.70352,0.52014,1.91146,1.90537,2.16653,0.009571,0.009571,0.009571
15,2036.74,2.04462,2.20865,2.07182,0.53669,0.65357,0.63149,0.45778,1.99818,2.11069,2.19586,0.009538,0.009538,0.009538
16,2169.52,2.03626,2.17901,2.07577,0.59629,0.7179,0.70835,0.53055,1.89617,1.88413,2.15196,0.009505,0.009505,0.009505
17,2302.14,2.01492,2.13706,2.07144,0.62413,0.70102,0.71846,0.54033,1.86995,1.81924,2.13479,0.009472,0.009472,0.009472
18,2435.96,1.99939,2.11296,2.06448,0.60545,0.70853,0.70837,0.52898,1.92731,1.82874,2.16659,0.009439,0.009439,0.009439
19,2570.24,2.00164,2.1347,2.05602,0.62823,0.70509,0.7108,0.53617,1.88434,1.80134,2.14493,0.009406,0.009406,0.009406
20,2756.05,2.00018,2.08008,2.05481,0.62819,0.7313,0.73466,0.55363,1.87508,1.75589,2.14825,0.009373,0.009373,0.009373
21,2955.58,1.98537,2.0848,2.06537,0.63093,0.6853,0.71265,0.54109,1.87524,1.81939,2.1527,0.00934,0.00934,0.00934
22,3154.41,1.98366,2.08389,2.05259,0.61971,0.73654,0.73673,0.55467,1.88461,1.74795,2.14347,0.009307,0.009307,0.009307
23,3357.4,1.98222,2.0536,2.04547,0.62811,0.69374,0.71326,0.53573,1.88733,1.82066,2.15324,0.009274,0.009274,0.009274
24,3557.02,1.97786,2.07386,2.05088,0.63658,0.719,0.73537,0.55949,1.85113,1.75584,2.13262,0.009241,0.009241,0.009241
25,3745.92,1.96566,2.04947,2.05097,0.62633,0.72518,0.73556,0.55449,1.86339,1.73227,2.14502,0.009208,0.009208,0.009208
26,3935.05,1.96754,2.01507,2.04714,0.63885,0.7313,0.74844,0.56776,1.84791,1.67897,2.12988,0.009175,0.009175,0.009175
27,4124.4,1.97378,2.01669,2.04668,0.60544,0.70568,0.70862,0.53183,1.87364,1.79246,2.15054,0.009142,0.009142,0.009142
28,4314.48,1.97148,2.04022,2.05955,0.62094,0.75167,0.7459,0.56518,1.85138,1.75322,2.14301,0.009109,0.009109,0.009109
29,4503.21,1.96141,2.00292,2.04526,0.63996,0.72756,0.74133,0.56264,1.84269,1.71284,2.13144,0.009076,0.009076,0.009076
30,4695.47,1.9709,1.98014,2.05106,0.63671,0.75257,0.75351,0.57339,1.84091,1.64716,2.13061,0.009043,0.009043,0.009043
31,4911.04,1.95594,1.97094,2.04291,0.62284,0.74061,0.74014,0.56302,1.8273,1.70612,2.1243,0.00901,0.00901,0.00901
32,5107.21,1.94472,1.96811,2.0364,0.64468,0.7345,0.74906,0.57062,1.82589,1.65503,2.12881,0.008977,0.008977,0.008977
33,5300.31,1.9467,1.96851,2.03184,0.63944,0.74964,0.75653,0.57275,1.84082,1.66279,2.13133,0.008944,0.008944,0.008944
34,5498.29,1.96717,1.98415,2.04428,0.63886,0.73479,0.74745,0.56581,1.83256,1.66663,2.12928,0.008911,0.008911,0.008911
35,5695.35,1.93726,1.98178,2.03864,0.65596,0.73767,0.75321,0.56945,1.83459,1.65075,2.13388,0.008878,0.008878,0.008878
36,5887.87,1.93644,1.94415,2.0474,0.63726,0.75182,0.75362,0.57079,1.83982,1.63774,2.1275,0.008845,0.008845,0.008845
37,6076.3,1.94334,1.98641,2.03947,0.63216,0.76419,0.75675,0.57767,1.82712,1.64202,2.12876,0.008812,0.008812,0.008812
38,6252.69,1.92623,1.92775,2.03284,0.64665,0.73799,0.74859,0.56939,1.82908,1.68181,2.12768,0.008779,0.008779,0.008779
39,6386.73,1.92028,1.95278,2.02238,0.6251,0.76565,0.74967,0.57333,1.8216,1.67585,2.11595,0.008746,0.008746,0.008746
40,6519.42,1.93573,1.93115,2.04173,0.63203,0.76204,0.75001,0.5686,1.82029,1.64598,2.11983,0.008713,0.008713,0.008713
41,6658.87,1.91134,1.92724,2.02934,0.63376,0.76099,0.75264,0.57471,1.81965,1.62913,2.11655,0.00868,0.00868,0.00868
42,6794.54,1.92768,1.91056,2.03996,0.66572,0.73333,0.7603,0.57758,1.82191,1.61939,2.12584,0.008647,0.008647,0.008647
43,6927.98,1.92635,1.90138,2.0395,0.64849,0.75781,0.76405,0.58226,1.82311,1.61421,2.12215,0.008614,0.008614,0.008614
44,7061.36,1.93699,1.91511,2.04393,0.66087,0.74146,0.76315,0.58303,1.81991,1.58896,2.12117,0.008581,0.008581,0.008581
45,7195.96,1.91848,1.90646,2.0256,0.64803,0.74666,0.76424,0.581,1.84426,1.60752,2.12711,0.008548,0.008548,0.008548
46,7330.45,1.91007,1.90238,2.03181,0.64747,0.73144,0.75298,0.5705,1.8398,1.64695,2.12948,0.008515,0.008515,0.008515
47,7507.38,1.91777,1.89429,2.02614,0.64813,0.74535,0.76088,0.5811,1.81996,1.60834,2.11313,0.008482,0.008482,0.008482
48,7693.46,1.91225,1.87642,2.0314,0.66946,0.73683,0.76715,0.58445,1.82749,1.57493,2.12615,0.008449,0.008449,0.008449
49,7888.22,1.9022,1.87692,2.02465,0.65867,0.741,0.76383,0.58477,1.79875,1.59731,2.11278,0.008416,0.008416,0.008416
50,8088.58,1.91349,1.88284,2.02995,0.64936,0.75517,0.7712,0.58824,1.81477,1.6249,2.11799,0.008383,0.008383,0.008383
51,8295.33,1.90477,1.87696,2.02411,0.65208,0.75604,0.76996,0.58947,1.80307,1.5661,2.11299,0.00835,0.00835,0.00835
52,8487.21,1.91088,1.86915,2.02224,0.66018,0.74527,0.76348,0.58504,1.80254,1.60617,2.11447,0.008317,0.008317,0.008317
53,8681.66,1.89371,1.87136,2.02039,0.65397,0.75138,0.76646,0.58675,1.79694,1.59438,2.11406,0.008284,0.008284,0.008284
54,8883.38,1.89725,1.85136,2.02472,0.64764,0.77089,0.76407,0.58695,1.80238,1.61707,2.11712,0.008251,0.008251,0.008251
55,9080.71,1.91215,1.86737,2.03506,0.65542,0.7476,0.75769,0.57814,1.8023,1.61853,2.11037,0.008218,0.008218,0.008218
56,9284.23,1.90104,1.85585,2.01674,0.67035,0.74003,0.7728,0.58974,1.80655,1.58245,2.11261,0.008185,0.008185,0.008185
57,9482.68,1.90499,1.84949,2.0231,0.6635,0.7444,0.76935,0.5862,1.81382,1.59928,2.12006,0.008152,0.008152,0.008152
58,9673.96,1.89356,1.83619,2.01914,0.67208,0.74643,0.77637,0.59677,1.80045,1.54854,2.11002,0.008119,0.008119,0.008119
59,9866.12,1.88886,1.81963,2.00452,0.68018,0.73431,0.77451,0.59347,1.79868,1.57719,2.10978,0.008086,0.008086,0.008086
60,10043.2,1.88665,1.8263,2.02101,0.64783,0.75992,0.77207,0.59109,1.80347,1.59468,2.11336,0.008053,0.008053,0.008053
61,10232.1,1.88576,1.82101,2.02239,0.6704,0.75779,0.78112,0.59973,1.78994,1.54752,2.10599,0.00802,0.00802,0.00802
62,10434,1.89372,1.83522,2.02302,0.66197,0.77147,0.78147,0.59917,1.7996,1.54449,2.11136,0.007987,0.007987,0.007987
63,10648.3,1.87656,1.8166,2.00585,0.65467,0.76157,0.77259,0.5928,1.80314,1.5477,2.10376,0.007954,0.007954,0.007954
64,10862.1,1.87707,1.81972,2.00684,0.65926,0.77438,0.78443,0.60037,1.80111,1.53702,2.10312,0.007921,0.007921,0.007921
65,11073.4,1.8856,1.82473,2.0188,0.67067,0.76448,0.78438,0.60025,1.80854,1.51378,2.10944,0.007888,0.007888,0.007888
66,11291.3,1.88616,1.80263,2.00927,0.65901,0.77419,0.77988,0.59902,1.79464,1.53075,2.09891,0.007855,0.007855,0.007855
67,11514.4,1.88323,1.78166,2.02564,0.67469,0.75473,0.77801,0.5967,1.79225,1.52869,2.10181,0.007822,0.007822,0.007822
68,11727.4,1.884,1.79639,2.0222,0.65964,0.76507,0.78012,0.59986,1.78888,1.52921,2.10584,0.007789,0.007789,0.007789
69,11942.6,1.88733,1.81625,2.01082,0.68082,0.74614,0.78687,0.60471,1.78228,1.50112,2.09166,0.007756,0.007756,0.007756
70,12152.1,1.87062,1.79363,2.00618,0.65462,0.76536,0.77682,0.59589,1.79494,1.52664,2.10738,0.007723,0.007723,0.007723
71,12354.6,1.86965,1.78731,2.00935,0.65527,0.76696,0.78207,0.60081,1.7923,1.51842,2.09615,0.00769,0.00769,0.00769
72,12553.3,1.87308,1.80031,2.00783,0.65993,0.76888,0.77696,0.59452,1.80085,1.53379,2.10419,0.007657,0.007657,0.007657
73,12729.7,1.87023,1.77611,2.00277,0.66185,0.77089,0.78058,0.59899,1.79118,1.51424,2.10214,0.007624,0.007624,0.007624
74,12859.3,1.86629,1.79818,2.00603,0.69211,0.74863,0.78737,0.60445,1.78859,1.50182,2.10185,0.007591,0.007591,0.007591
75,12989.5,1.89267,1.77592,2.01234,0.68624,0.75721,0.78354,0.60135,1.79424,1.5513,2.10225,0.007558,0.007558,0.007558
76,13119.5,1.87292,1.76535,2.00908,0.68488,0.74469,0.7884,0.60547,1.78573,1.51144,2.09334,0.007525,0.007525,0.007525
77,13248.9,1.87331,1.78094,2.00976,0.68044,0.754,0.78334,0.60115,1.79405,1.52489,2.10632,0.007492,0.007492,0.007492
