epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.832,1.07177,3.26205,1.08542,0.33972,0.47717,0.354,0.24883,1.04819,2.56367,1.14685,0.00332472,0.00332472,0.00332472
2,397.756,1.03448,2.1478,1.03409,0.35793,0.46865,0.36131,0.26334,0.96816,1.92389,1.04326,0.00663608,0.00663608,0.00663608
3,594.066,1.03878,1.84433,1.00193,0.31894,0.49921,0.347,0.25056,0.95307,1.96568,0.99595,0.00992544,0.00992544,0.00992544
4,775.167,1.04347,1.69506,0.99299,0.38851,0.49972,0.40064,0.28442,1.00576,1.79652,1.09796,0.009901,0.009901,0.009901
5,956.18,1.01924,1.56974,0.9921,0.32145,0.46315,0.34236,0.24368,1.02528,1.82298,1.04678,0.009868,0.009868,0.009868
6,1137.6,1.01378,1.47857,0.9893,0.47073,0.59103,0.5127,0.36356,0.96298,1.42582,1.04153,0.009835,0.009835,0.009835
7,1318.62,1.00698,1.47434,0.9933,0.48179,0.49477,0.47826,0.35118,0.92966,1.79908,1.01707,0.009802,0.009802,0.009802
8,1499.95,0.99277,1.44336,0.98768,0.31395,0.33692,0.2467,0.17724,0.97821,2.1835,1.01559,0.009769,0.009769,0.009769
9,1680.25,0.98661,1.41032,0.98616,0.48311,0.61689,0.54909,0.39679,0.91907,1.33952,1.00635,0.009736,0.009736,0.009736
10,1861.9,0.96928,1.35675,0.9791,0.46988,0.57618,0.50281,0.36986,0.91285,1.53631,1.00789,0.009703,0.009703,0.009703
11,2053.67,0.98034,1.36413,0.98057,0.51544,0.64934,0.59112,0.44097,0.93186,1.29874,1.02072,0.00967,0.00967,0.00967
12,2240.07,0.97454,1.30024,0.98147,0.47798,0.60864,0.53409,0.3934,0.92595,1.33555,1.02302,0.009637,0.009637,0.009637
13,2422.44,0.96574,1.33159,0.97976,0.52235,0.63641,0.58855,0.43235,0.92285,1.24245,1.00626,0.009604,0.009604,0.009604
14,2604.94,0.96475,1.30199,0.98013,0.508,0.62404,0.56644,0.41067,0.92121,1.26819,1.01537,0.009571,0.009571,0.009571
15,2855.97,0.96347,1.3042,0.97773,0.53932,0.67904,0.62748,0.47389,0.89055,1.25339,1.00353,0.009538,0.009538,0.009538
16,3196.24,0.95914,1.26468,0.96904,0.51074,0.63394,0.56459,0.42425,0.91085,1.27412,1.00954,0.009505,0.009505,0.009505
17,3522.51,0.95312,1.26136,0.97142,0.53132,0.64602,0.5981,0.4461,0.88972,1.23642,0.99567,0.009472,0.009472,0.009472
18,3843.75,0.94254,1.24127,0.97056,0.56136,0.66832,0.62457,0.47324,0.89088,1.15661,1.01801,0.009439,0.009439,0.009439
19,4169.71,0.96232,1.26784,0.97448,0.49313,0.64109,0.56583,0.42513,0.89388,1.32997,1.00408,0.009406,0.009406,0.009406
20,4491.65,0.95134,1.23955,0.96731,0.57847,0.67794,0.66086,0.4981,0.88579,1.12678,1.0085,0.009373,0.009373,0.009373
21,4818.78,0.94782,1.22465,0.96816,0.57498,0.68051,0.65946,0.49205,0.89011,1.12353,0.99396,0.00934,0.00934,0.00934
22,5139.13,0.93794,1.21819,0.96548,0.52997,0.67602,0.61268,0.46754,0.86874,1.16583,0.99065,0.009307,0.009307,0.009307
23,5465.62,0.94766,1.21386,0.97082,0.44096,0.57371,0.48773,0.35749,0.91624,1.50714,1.01924,0.009274,0.009274,0.009274
24,5790.14,0.94039,1.18644,0.96525,0.52379,0.68674,0.6147,0.4592,0.89042,1.13781,1.00658,0.009241,0.009241,0.009241
25,6125.2,0.93466,1.20404,0.96613,0.5671,0.67079,0.6432,0.48425,0.90364,1.17475,1.00494,0.009208,0.009208,0.009208
26,6441.99,0.92687,1.17887,0.9656,0.56148,0.69197,0.648,0.48841,0.88172,1.1209,1.0068,0.009175,0.009175,0.009175
27,6755.69,0.93195,1.1826,0.96896,0.56016,0.69032,0.64437,0.48831,0.87868,1.15027,1.0168,0.009142,0.009142,0.009142
28,7053.73,0.9336,1.19194,0.96403,0.57949,0.69549,0.65376,0.49461,0.87861,1.12345,0.99071,0.009109,0.009109,0.009109
29,7367.14,0.92756,1.17551,0.95904,0.54619,0.69554,0.63714,0.47786,0.87779,1.15378,0.99876,0.009076,0.009076,0.009076
30,7629.57,0.9345,1.19831,0.96886,0.5659,0.69169,0.66564,0.50206,0.87664,1.08913,0.99627,0.009043,0.009043,0.009043
31,7957.36,0.93138,1.16582,0.96385,0.58706,0.7093,0.67788,0.51888,0.87116,1.05169,1.00018,0.00901,0.00901,0.00901
32,8269.06,0.93068,1.1507,0.96592,0.59102,0.70467,0.67621,0.51766,0.86236,1.07361,0.99321,0.008977,0.008977,0.008977
33,8592.01,0.92357,1.15248,0.9636,0.58741,0.68729,0.67047,0.51062,0.86843,1.09546,0.99294,0.008944,0.008944,0.008944
34,8942.46,0.93019,1.16643,0.9649,0.59065,0.66804,0.66332,0.50872,0.86301,1.07812,0.9957,0.008911,0.008911,0.008911
35,9290.53,0.92555,1.15476,0.96535,0.58837,0.70352,0.67357,0.51439,0.86196,1.04995,0.99407,0.008878,0.008878,0.008878
36,9605.64,0.92886,1.14832,0.96595,0.59281,0.70671,0.68188,0.5221,0.86164,1.06778,0.99584,0.008845,0.008845,0.008845
37,9912.31,0.91867,1.13578,0.96036,0.57042,0.6968,0.65827,0.49992,0.86882,1.10822,0.9813,0.008812,0.008812,0.008812
38,10231.9,0.91827,1.11641,0.9574,0.6,0.69334,0.68574,0.52405,0.85734,1.06062,0.99888,0.008779,0.008779,0.008779
39,10532.1,0.9194,1.12873,0.9594,0.58394,0.68097,0.67372,0.51233,0.85945,1.04489,0.98956,0.008746,0.008746,0.008746
40,10831.3,0.9187,1.11079,0.95634,0.58801,0.71479,0.686,0.52512,0.86556,1.03385,1.00123,0.008713,0.008713,0.008713
41,11205.6,0.91993,1.13846,0.96226,0.59043,0.68014,0.66894,0.51321,0.863,1.08894,0.99559,0.00868,0.00868,0.00868
42,11520.3,0.91293,1.14019,0.96299,0.57661,0.68992,0.6676,0.50903,0.86136,1.07011,0.99318,0.008647,0.008647,0.008647
43,11701.9,0.90924,1.099,0.95641,0.58758,0.72607,0.69226,0.52893,0.86253,1.0141,0.99176,0.008614,0.008614,0.008614
44,11883,0.91421,1.09718,0.96311,0.59688,0.70002,0.67871,0.52037,0.85969,1.05197,1.00677,0.008581,0.008581,0.008581
45,12067.7,0.9073,1.10466,0.95511,0.57743,0.69414,0.66687,0.50906,0.85279,1.04248,0.99227,0.008548,0.008548,0.008548
46,12250.8,0.90228,1.1002,0.95136,0.58797,0.71232,0.69023,0.52326,0.86864,1.04784,0.99852,0.008515,0.008515,0.008515
47,12433.8,0.90813,1.06549,0.95788,0.6038,0.69307,0.68209,0.5216,0.86794,1.03797,0.99279,0.008482,0.008482,0.008482
48,12614.7,0.91013,1.10463,0.9555,0.58006,0.69389,0.66871,0.50986,0.86846,1.03878,1.00805,0.008449,0.008449,0.008449
49,12795.8,0.90219,1.09045,0.95459,0.57792,0.68674,0.66975,0.50938,0.86894,1.02433,1.00147,0.008416,0.008416,0.008416
50,12977.7,0.90789,1.09784,0.95294,0.60244,0.72442,0.69497,0.52774,0.86929,1.01869,0.99642,0.008383,0.008383,0.008383
51,13158.7,0.90807,1.08995,0.96007,0.60613,0.70682,0.69698,0.53293,0.85344,1.00311,0.98867,0.00835,0.00835,0.00835
52,13339.6,0.91109,1.07561,0.94847,0.56317,0.69921,0.66312,0.50217,0.86234,1.01657,0.97893,0.008317,0.008317,0.008317
53,13520.3,0.91125,1.08949,0.95811,0.5927,0.69224,0.67634,0.51724,0.85495,1.05847,0.99909,0.008284,0.008284,0.008284
