epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.445,2.12821,10.3643,2.00708,0.35291,0.46067,0.36231,0.26058,1.99557,4.40236,1.953,0.00332902,0.00332902,0.00332902
2,474.37,2.13179,4.83334,1.98304,0.24139,0.31216,0.20161,0.14555,1.99382,5.2602,1.9903,0.00664037,0.00664037,0.00664037
3,699.782,2.20956,4.15246,2.03399,0.36783,0.41529,0.33264,0.23362,2.05524,3.83362,2.10712,0.00992972,0.00992972,0.00992972
4,920.106,2.25838,3.82623,2.09004,0.39584,0.4582,0.38224,0.26643,2.18655,3.77363,2.23072,0.009901,0.009901,0.009901
5,1145.19,2.17078,3.45077,2.07641,0.44436,0.50798,0.44907,0.32843,1.98144,3.50763,2.12169,0.009868,0.009868,0.009868
6,1366.43,2.158,3.27498,2.0784,0.48988,0.58938,0.53789,0.39,1.94957,2.82802,2.15686,0.009835,0.009835,0.009835
7,1584.89,2.13374,3.19058,2.08026,0.43789,0.56161,0.47204,0.34625,1.98434,2.79993,2.14484,0.009802,0.009802,0.009802
8,1807.09,2.10745,3.22323,2.07436,0.51179,0.56353,0.54388,0.39508,1.94802,2.95794,2.12678,0.009769,0.009769,0.009769
9,2030.8,2.07816,3.08959,2.0662,0.49318,0.61991,0.54234,0.4022,1.87248,2.61173,2.09326,0.009736,0.009736,0.009736
10,2254.85,2.06254,2.91052,2.04942,0.51247,0.60176,0.55669,0.41839,1.86504,2.85775,2.10572,0.009703,0.009703,0.009703
11,2476.86,2.03256,2.95389,2.04199,0.52818,0.66474,0.6038,0.4483,1.88559,2.47288,2.09416,0.00967,0.00967,0.00967
12,2696.21,2.03104,2.86774,2.0489,0.50178,0.60561,0.53874,0.40574,1.89521,3.08814,2.0694,0.009637,0.009637,0.009637
13,2921.86,2.03909,2.95938,2.05065,0.54367,0.56621,0.55623,0.41258,1.88775,2.80189,2.13753,0.009604,0.009604,0.009604
14,3144.14,2.03778,3.00094,2.05474,0.52716,0.60314,0.56463,0.42566,1.85884,2.62891,2.08888,0.009571,0.009571,0.009571
15,3363.74,2.02586,2.80924,2.05897,0.52198,0.65408,0.58764,0.44279,1.86986,2.66318,2.09869,0.009538,0.009538,0.009538
16,3588.98,1.99588,2.66958,2.03563,0.5413,0.65347,0.60989,0.45291,1.82975,2.32351,2.063,0.009505,0.009505,0.009505
17,3813.67,2.00335,2.77171,2.03913,0.54963,0.63975,0.61592,0.46168,1.83806,2.38546,2.10971,0.009472,0.009472,0.009472
18,4033.43,1.97567,2.72332,2.03079,0.53946,0.65044,0.60295,0.45345,1.80837,2.31061,2.07051,0.009439,0.009439,0.009439
19,4252.42,2.00397,2.66721,2.03445,0.52221,0.64329,0.59189,0.44161,1.82632,2.34813,2.11082,0.009406,0.009406,0.009406
20,4470.62,1.94992,2.62568,2.01196,0.56834,0.66555,0.63086,0.4733,1.83473,2.23269,2.10242,0.009373,0.009373,0.009373
21,4688.67,1.98218,2.65575,2.03588,0.56112,0.64521,0.63061,0.46776,1.86042,2.23814,2.10913,0.00934,0.00934,0.00934
22,4907.84,1.94335,2.61165,2.00779,0.54676,0.65347,0.61163,0.45953,1.82996,2.37779,2.08824,0.009307,0.009307,0.009307
23,5126.76,1.94944,2.58409,2.02778,0.57704,0.65324,0.6333,0.48003,1.8165,2.37248,2.10076,0.009274,0.009274,0.009274
24,5350.19,1.95281,2.51943,2.0289,0.55745,0.66172,0.63287,0.47595,1.81615,2.3591,2.07779,0.009241,0.009241,0.009241
25,5574.6,1.94409,2.51805,2.01727,0.5166,0.6425,0.58892,0.44399,1.81957,2.26387,2.08274,0.009208,0.009208,0.009208
26,5797.21,1.93467,2.55241,2.01051,0.5714,0.68493,0.64615,0.49039,1.8029,2.18087,2.09629,0.009175,0.009175,0.009175
27,6024.71,1.95086,2.51365,2.0289,0.55616,0.66686,0.62942,0.47827,1.7898,2.23446,2.07373,0.009142,0.009142,0.009142
28,6259.07,1.94038,2.49766,2.0197,0.54979,0.68564,0.62333,0.47453,1.77048,2.27605,2.05781,0.009109,0.009109,0.009109
29,6492.45,1.92368,2.54651,2.01522,0.57578,0.65759,0.64405,0.49086,1.77542,2.15157,2.07792,0.009076,0.009076,0.009076
30,6717.23,1.94209,2.54144,2.02672,0.50622,0.64604,0.58237,0.43827,1.78522,2.24369,2.07964,0.009043,0.009043,0.009043
31,6941.17,1.91957,2.51441,2.00258,0.55654,0.68097,0.6372,0.48194,1.78335,2.14986,2.07882,0.00901,0.00901,0.00901
32,7167.64,1.94332,2.50009,2.03336,0.57762,0.68922,0.6475,0.49478,1.78625,2.13589,2.11035,0.008977,0.008977,0.008977
33,7397.27,1.94267,2.47355,2.02937,0.58749,0.67437,0.65537,0.4996,1.77465,2.15692,2.07672,0.008944,0.008944,0.008944
34,7626.91,1.90028,2.39052,2.00859,0.55347,0.67574,0.63501,0.47964,1.78289,2.13662,2.09129,0.008911,0.008911,0.008911
35,7852.75,1.91894,2.41605,2.01734,0.52873,0.67464,0.60627,0.45947,1.76158,2.2351,2.06315,0.008878,0.008878,0.008878
36,8080.07,1.93464,2.4248,2.02538,0.57688,0.67354,0.65315,0.49476,1.76906,2.16532,2.07651,0.008845,0.008845,0.008845
37,8304.16,1.90864,2.43695,2.00962,0.57385,0.68995,0.65554,0.49579,1.77429,2.09701,2.06881,0.008812,0.008812,0.008812
38,8523.48,1.88879,2.38333,1.98919,0.56989,0.67932,0.65582,0.49688,1.77438,2.12742,2.07021,0.008779,0.008779,0.008779
39,8745.61,1.90258,2.38665,2.00458,0.59334,0.68812,0.67438,0.51618,1.76806,2.06494,2.08988,0.008746,0.008746,0.008746
40,8966.9,1.89355,2.38839,2.00366,0.56275,0.69874,0.65782,0.50222,1.75771,2.13849,2.08228,0.008713,0.008713,0.008713
