epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.287,1.10241,2.22335,1.05852,0.45082,0.5933,0.49346,0.35189,1.01776,1.78192,1.04855,0.00332805,0.00332805,0.00332805
2,286.476,1.0793,1.67304,1.01076,0.47408,0.62999,0.55166,0.37897,1.03547,1.4982,1.03646,0.0066394,0.0066394,0.0066394
3,417.306,1.11293,1.53351,1.03211,0.42272,0.53188,0.47103,0.32428,1.04828,1.59221,1.04574,0.00992875,0.00992875,0.00992875
4,548.013,1.10503,1.46835,1.03445,0.51576,0.62475,0.56941,0.40707,1.04984,1.35111,1.07585,0.009901,0.009901,0.009901
5,678.062,1.07992,1.35384,1.03794,0.53746,0.65648,0.62039,0.44445,1.03432,1.57507,1.08891,0.009868,0.009868,0.009868
6,808.276,1.05759,1.29378,1.03229,0.5618,0.71364,0.66105,0.48751,0.9702,1.1134,1.05413,0.009835,0.009835,0.009835
7,940.717,1.04224,1.25059,1.02882,0.56148,0.63592,0.61653,0.45258,0.99394,1.21816,1.08217,0.009802,0.009802,0.009802
8,1073.01,1.03316,1.23027,1.02717,0.53998,0.693,0.62543,0.46462,0.9636,1.12885,1.06847,0.009769,0.009769,0.009769
9,1205.21,1.02055,1.21029,1.01643,0.58154,0.68705,0.66731,0.49219,0.99346,1.0525,1.08162,0.009736,0.009736,0.009736
10,1337.74,1.01191,1.17446,1.02033,0.57274,0.688,0.66789,0.49456,0.98034,1.08943,1.06542,0.009703,0.009703,0.009703
11,1470.07,1.0058,1.16222,1.01934,0.6155,0.70626,0.70512,0.52204,0.97071,1.06786,1.07633,0.00967,0.00967,0.00967
12,1600.95,0.99757,1.15434,1.01707,0.57063,0.71382,0.66297,0.49892,0.95974,1.0473,1.06779,0.009637,0.009637,0.009637
13,1732.63,1.00394,1.15135,1.01771,0.5212,0.64134,0.60008,0.43439,0.98616,1.21209,1.07427,0.009604,0.009604,0.009604
14,1863.74,0.99054,1.12411,1.01317,0.58364,0.72149,0.70575,0.52745,0.94761,0.97514,1.06876,0.009571,0.009571,0.009571
15,1994.83,0.99591,1.11714,1.01637,0.57189,0.71597,0.66749,0.49085,0.95318,1.03047,1.06563,0.009538,0.009538,0.009538
16,2125.96,0.99275,1.10299,1.01658,0.58414,0.71703,0.69143,0.50035,0.97765,0.96995,1.07592,0.009505,0.009505,0.009505
17,2257.06,0.97832,1.09793,1.01332,0.58755,0.7162,0.68821,0.51666,0.93464,0.98336,1.06224,0.009472,0.009472,0.009472
18,2388.73,0.97466,1.07498,1.01333,0.61125,0.70597,0.71418,0.53355,0.93875,0.96269,1.06755,0.009439,0.009439,0.009439
19,2519.94,0.977,1.0883,1.01109,0.59596,0.69956,0.69023,0.51421,0.93421,0.99368,1.06376,0.009406,0.009406,0.009406
20,2651.42,0.97493,1.06122,1.01024,0.62509,0.72664,0.72893,0.54888,0.92564,0.9178,1.05836,0.009373,0.009373,0.009373
21,2783.21,0.96593,1.05354,1.00964,0.60261,0.71119,0.70899,0.53669,0.92929,0.96148,1.06067,0.00934,0.00934,0.00934
22,2914.63,0.96895,1.0616,1.00911,0.62935,0.73406,0.73559,0.55703,0.92304,0.89056,1.05803,0.009307,0.009307,0.009307
23,3045.97,0.97048,1.04296,1.00798,0.6403,0.7278,0.73943,0.56031,0.9236,0.88637,1.05554,0.009274,0.009274,0.009274
24,3177.9,0.95903,1.05722,1.00462,0.64639,0.72111,0.7375,0.55567,0.92316,0.89839,1.06258,0.009241,0.009241,0.009241
25,3309.03,0.95898,1.04033,1.00768,0.63449,0.72975,0.73901,0.55808,0.92263,0.9064,1.05648,0.009208,0.009208,0.009208
26,3440.37,0.96175,1.02717,1.00659,0.62765,0.71528,0.7298,0.55135,0.92247,0.89447,1.05323,0.009175,0.009175,0.009175
27,3572.16,0.96102,1.0311,1.00477,0.62327,0.74993,0.73868,0.55728,0.92094,0.8918,1.05926,0.009142,0.009142,0.009142
28,3704.18,0.96122,1.03547,1.01115,0.62676,0.74323,0.7363,0.55872,0.91035,0.90945,1.0496,0.009109,0.009109,0.009109
29,3835.63,0.95988,1.02178,1.009,0.64154,0.7362,0.74511,0.5631,0.91378,0.88548,1.05688,0.009076,0.009076,0.009076
30,3967.76,0.96197,1.01367,1.01074,0.64348,0.7444,0.75821,0.57643,0.90824,0.85899,1.05021,0.009043,0.009043,0.009043
31,4099.79,0.95173,1.00152,1.00486,0.61932,0.74702,0.73349,0.55837,0.91293,0.90312,1.05653,0.00901,0.00901,0.00901
32,4230.96,0.94634,1.00213,0.99949,0.62799,0.74672,0.7448,0.56455,0.91733,0.86717,1.05908,0.008977,0.008977,0.008977
33,4361.63,0.95019,1.00568,1.0008,0.64393,0.72809,0.74435,0.5658,0.91155,0.8886,1.05394,0.008944,0.008944,0.008944
34,4492.34,0.95622,1.0082,1.00557,0.61411,0.72256,0.72188,0.54471,0.91665,0.88878,1.05913,0.008911,0.008911,0.008911
35,4622.9,0.94623,1.00793,1.00372,0.65956,0.74449,0.75731,0.57266,0.90801,0.87241,1.05377,0.008878,0.008878,0.008878
36,4753.59,0.94923,0.99875,1.01149,0.65082,0.75197,0.75647,0.57467,0.91069,0.85971,1.05821,0.008845,0.008845,0.008845
37,4884.43,0.94938,1.0107,1.0066,0.65194,0.74106,0.76024,0.57797,0.90467,0.8508,1.05148,0.008812,0.008812,0.008812
38,5015.77,0.9428,0.979,1.00272,0.64754,0.74731,0.75716,0.57675,0.90496,0.85456,1.05237,0.008779,0.008779,0.008779
39,5146.81,0.9414,0.99303,0.99831,0.64707,0.72082,0.74998,0.57068,0.91132,0.89594,1.05277,0.008746,0.008746,0.008746
40,5277.78,0.94323,0.98727,1.00409,0.66007,0.75184,0.76819,0.5839,0.90254,0.84172,1.04919,0.008713,0.008713,0.008713
41,5409.05,0.93657,0.98194,0.9994,0.64412,0.74401,0.7547,0.57726,0.90117,0.82853,1.04685,0.00868,0.00868,0.00868
42,5540.69,0.94181,0.9759,1.00269,0.64382,0.75983,0.7622,0.5806,0.90136,0.82502,1.04949,0.008647,0.008647,0.008647
43,5672.51,0.94517,0.96898,1.0055,0.65919,0.74061,0.77191,0.58973,0.89811,0.82335,1.04818,0.008614,0.008614,0.008614
44,5804.29,0.94464,0.97673,1.0053,0.65193,0.74865,0.76582,0.58298,0.90842,0.82948,1.05255,0.008581,0.008581,0.008581
45,5936.08,0.93884,0.97108,1.00034,0.65114,0.75638,0.76609,0.58426,0.90707,0.82289,1.05134,0.008548,0.008548,0.008548
46,6068.18,0.9334,0.96681,1.00019,0.658,0.74381,0.75917,0.57959,0.90096,0.82226,1.04951,0.008515,0.008515,0.008515
47,6200.08,0.93883,0.96661,1.00004,0.64676,0.75636,0.76127,0.58245,0.89895,0.81508,1.04732,0.008482,0.008482,0.008482
48,6331.81,0.9344,0.9549,1.00179,0.66253,0.751,0.77111,0.58876,0.90363,0.81345,1.04925,0.008449,0.008449,0.008449
