epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.32,1.18034,1.81193,1.13407,0.37083,0.64466,0.4066,0.25658,1.20441,1.92264,1.20477,0.00333,0.00333,0.00333
2,302.709,1.15423,1.38255,1.08221,0.56503,0.70616,0.64434,0.43024,1.10076,1.28782,1.14849,0.00664135,0.00664135,0.00664135
3,445.751,1.18168,1.32375,1.10084,0.57891,0.71063,0.65229,0.44273,1.15734,1.44373,1.18727,0.00993069,0.00993069,0.00993069
4,583.015,1.19096,1.2721,1.12441,0.55214,0.61722,0.59954,0.40789,1.08964,1.31749,1.19379,0.009901,0.009901,0.009901
5,721.025,1.1454,1.18632,1.11415,0.61883,0.72435,0.70227,0.50685,1.04549,1.03696,1.16251,0.009868,0.009868,0.009868
6,861.317,1.11728,1.12235,1.10951,0.65457,0.77218,0.7614,0.54867,1.02677,0.9663,1.14787,0.009835,0.009835,0.009835
7,1018.24,1.10914,1.09399,1.10212,0.64237,0.77437,0.74897,0.53941,1.02001,0.99658,1.14547,0.009802,0.009802,0.009802
8,1161.5,1.09411,1.07506,1.09478,0.62256,0.75987,0.72452,0.50636,1.06769,1.00485,1.17078,0.009769,0.009769,0.009769
9,1298.44,1.08967,1.05194,1.09704,0.65598,0.76982,0.75469,0.55327,1.00903,0.89762,1.13477,0.009736,0.009736,0.009736
10,1439.86,1.07411,1.03211,1.08858,0.66691,0.77324,0.77686,0.56095,1.02812,0.92255,1.14628,0.009703,0.009703,0.009703
11,1602.82,1.07377,1.02193,1.08879,0.66136,0.76533,0.7694,0.56441,1.00451,0.89273,1.13483,0.00967,0.00967,0.00967
12,1738.85,1.06543,1.01165,1.08395,0.6783,0.75434,0.7724,0.5628,1.02395,0.90888,1.13968,0.009637,0.009637,0.009637
13,1874.77,1.05714,1.00473,1.07949,0.66654,0.77806,0.77725,0.56717,1.00758,0.87297,1.13063,0.009604,0.009604,0.009604
14,2010.38,1.05452,1.0005,1.08322,0.68723,0.74908,0.78634,0.58035,0.99106,0.85641,1.1272,0.009571,0.009571,0.009571
15,2146.2,1.05791,0.99487,1.07713,0.6567,0.78545,0.78281,0.57691,0.99402,0.86964,1.13404,0.009538,0.009538,0.009538
16,2281.85,1.04993,0.98087,1.08058,0.71626,0.77402,0.81049,0.60141,0.97789,0.81005,1.12334,0.009505,0.009505,0.009505
17,2418.13,1.043,0.96496,1.07187,0.66451,0.79057,0.79038,0.58477,0.99178,0.85081,1.12662,0.009472,0.009472,0.009472
18,2555.81,1.03991,0.97174,1.07041,0.70143,0.78309,0.80814,0.60037,0.98419,0.80933,1.11928,0.009439,0.009439,0.009439
19,2692.41,1.03237,0.95794,1.06678,0.69393,0.78431,0.80201,0.58884,0.98834,0.82019,1.12173,0.009406,0.009406,0.009406
20,2828.49,1.03514,0.94932,1.0686,0.69675,0.78886,0.8206,0.60972,0.97431,0.78658,1.11679,0.009373,0.009373,0.009373
21,2965.34,1.03325,0.96246,1.06558,0.68662,0.80705,0.8115,0.60085,0.98194,0.81105,1.12212,0.00934,0.00934,0.00934
22,3101.29,1.03279,0.95569,1.06405,0.682,0.80994,0.80999,0.60276,0.97937,0.79774,1.11636,0.009307,0.009307,0.009307
23,3237.86,1.0317,0.94885,1.06579,0.70857,0.80078,0.82255,0.61474,0.97193,0.77218,1.11382,0.009274,0.009274,0.009274
24,3374.08,1.02477,0.93423,1.06603,0.71388,0.80023,0.82012,0.61418,0.9683,0.76959,1.11421,0.009241,0.009241,0.009241
25,3510.98,1.02629,0.93628,1.06411,0.71088,0.79235,0.82399,0.61353,0.96754,0.77379,1.11457,0.009208,0.009208,0.009208
26,3647.27,1.01474,0.92703,1.06189,0.72061,0.79824,0.83362,0.6244,0.95838,0.75633,1.10226,0.009175,0.009175,0.009175
27,3783.17,1.02246,0.92591,1.06497,0.72413,0.78322,0.823,0.61632,0.9597,0.79169,1.11227,0.009142,0.009142,0.009142
28,3919.14,1.01526,0.91867,1.05706,0.71431,0.80733,0.8299,0.62159,0.95563,0.74971,1.10311,0.009109,0.009109,0.009109
29,4055.2,1.01547,0.92013,1.05982,0.71602,0.79963,0.83363,0.62293,0.96327,0.75232,1.10789,0.009076,0.009076,0.009076
30,4191.54,1.02144,0.92751,1.06257,0.70925,0.79454,0.82432,0.62076,0.95177,0.76838,1.10307,0.009043,0.009043,0.009043
31,4328.4,1.00814,0.9171,1.05548,0.69965,0.80891,0.82294,0.61833,0.96341,0.7669,1.10884,0.00901,0.00901,0.00901
32,4465.78,1.01411,0.9243,1.05981,0.71434,0.79235,0.82384,0.61844,0.95791,0.77013,1.10291,0.008977,0.008977,0.008977
33,4601.32,1.0123,0.90898,1.06064,0.73126,0.78659,0.83496,0.62614,0.96083,0.74482,1.10794,0.008944,0.008944,0.008944
34,4737.74,1.01057,0.90295,1.05909,0.73045,0.79087,0.83643,0.62844,0.96024,0.73145,1.11079,0.008911,0.008911,0.008911
35,4874.51,1.00757,0.90519,1.05828,0.71388,0.81017,0.8392,0.63072,0.9617,0.73513,1.11164,0.008878,0.008878,0.008878
36,5015.56,1.0023,0.89811,1.05219,0.73154,0.79448,0.83549,0.63253,0.94929,0.73791,1.1016,0.008845,0.008845,0.008845
37,5167.65,1.00579,0.90656,1.05201,0.72292,0.80591,0.83932,0.6305,0.95404,0.72995,1.10566,0.008812,0.008812,0.008812
38,5308.16,1.00353,0.89101,1.05689,0.71361,0.81245,0.83888,0.63126,0.95564,0.72108,1.10433,0.008779,0.008779,0.008779
39,5448.52,1.00195,0.90048,1.05428,0.72536,0.79881,0.84142,0.63517,0.94536,0.72127,1.10424,0.008746,0.008746,0.008746
40,5587.85,1.00556,0.90055,1.05205,0.72318,0.81387,0.84018,0.63205,0.95203,0.73197,1.10631,0.008713,0.008713,0.008713
41,5727.64,1.00319,0.8961,1.05547,0.70643,0.82325,0.83718,0.62995,0.9487,0.72477,1.10269,0.00868,0.00868,0.00868
42,5866.64,1.00063,0.89103,1.05791,0.71118,0.82077,0.84286,0.63639,0.94975,0.71609,1.10066,0.008647,0.008647,0.008647
43,6007.63,1.00734,0.88316,1.05816,0.72745,0.80108,0.8426,0.63201,0.9532,0.72145,1.10578,0.008614,0.008614,0.008614
